iter	Passed	Remaining
836	4925	959
837	4930	953
838	4934	946
839	4939	940
840	4944	934
841	4948	928
842	4954	922
843	4959	916
844	4963	910
845	4967	904
846	4972	898
847	4978	892
848	4985	886
849	4989	880
850	4994	874
851	4998	868
852	5002	862
853	5006	855
854	5010	849
855	5014	843
856	5018	837
857	5022	831
858	5025	824
859	5029	818
860	5033	812
861	5036	806
862	5040	800
863	5044	794
864	5048	787
865	5052	781
866	5056	775
867	5059	769
868	5064	763
869	5068	757
870	5071	751
871	5075	745
872	5079	738
873	5084	732
874	5087	726
875	5091	720
876	5096	714
877	5100	708
878	5104	702
879	5107	696
880	5112	690
881	5117	684
882	5120	678
883	5125	672
884	5132	666
885	5140	661
886	5147	655
887	5153	650
888	5160	644
889	5165	638
890	5171	632
891	5176	626
892	5181	620
893	5185	614
894	5190	608
895	5207	604
896	5214	598
897	5221	593
898	5228	587
899	5234	581
900	5239	575
901	5244	569
902	5250	563
903	5255	558
904	5260	552
905	5265	546
906	5270	540
907	5275	534
908	5280	528
909	5284	522
910	5290	516
911	5295	510
912	5300	505
913	5305	499
914	5309	493
915	5313	487
916	5317	481
917	5322	475
918	5325	469
919	5329	463
920	5333	457
921	5338	451
922	5342	445
923	5346	439
924	5349	433
925	5354	427
926	5358	421
927	5362	416
928	5366	410
929	5371	404
930	5374	398
931	5378	392
932	5381	386
933	5385	380
934	5389	374
935	5393	368
936	5397	362
937	5400	356
938	5404	351
939	5408	345
940	5411	339
941	5415	333
942	5419	327
943	5423	321
944	5426	315
945	5430	309
946	5435	304
947	5439	298
948	5442	292
949	5446	286
950	5450	280
951	5454	275
952	5458	269
953	5462	263
954	5466	257
955	5470	251
956	5473	245
957	5477	240
958	5481	234
959	5488	228
960	5492	222
961	5496	217
962	5500	211
963	5504	205
964	5508	199
965	5512	194
966	5517	188
967	5521	182
968	5525	176
969	5529	171
970	5533	165
971	5537	159
972	5541	153
973	5545	148
974	5549	142
975	5553	136
976	5557	130
977	5575	125
978	5580	119
979	5585	113
980	5590	108
981	5595	102
982	5599	96
983	5603	91
984	5608	85
985	5613	79
986	5617	73
987	5622	68
988	5627	62
989	5632	56
990	5636	51
991	5641	45
992	5646	39
993	5651	34
994	5655	28
995	5660	22
996	5664	17
997	5668	11
998	5672	5
999	5677	0
